위도,경도
37.52648497,127.028486
37.52750857,127.0405915
37.51643147,127.0202927
37.51118739,127.0216486
37.5143566,127.0318974
37.51720086,127.0412872
37.51944838,127.0537089
37.50480751,127.0254694
37.50732819,127.0339528
37.51092904,127.0436137
37.51296146,127.0530256
37.51423744,127.0602203
37.50881193,127.0630209
37.50449378,127.0489481
37.50066001,127.0364604
37.49808544,127.0279777
37.4962749,127.0529007
37.48456871,127.034146
37.48692506,127.0466979
37.49097578,127.0554977
37.49448585,127.0631898
37.496878,127.071153
37.48702744,127.0594749
37.49154287,127.0730703
37.49370112,127.0795179
37.48398507,127.0841207
