name,lat,lon
더 샵스 앳 센터필드 (THE SHOPS AT CENTERFIELD),37.5031929,127.041474
이마트에브리데이 강남시장점,37.5187583,127.020646
GS THE FRESH 압구정점,37.5287380,127.035492
홈플러스익스프레스 도곡2점,37.4827485,127.043340
신사상가,37.5323348,127.028626
갤러리아백화점(동관),37.5279702,127.041895
청담삼익시장,37.5222874,127.057718
그랑프리,37.4912748,127.058169
청실종합상가,37.4931395,127.058781
대치종합상가,37.5009848,127.063628
대치1단지상가,37.4945720,127.075258
대치2단지상가,37.4945720,127.075258
롯데백화점(강남점),37.4969443,127.053266
도심공항몰(CALT MALL),37.5095736,127.059258
점프밀라노,37.5012508,127.026455
노브랜드 삼성점,37.5164339,127.051164
파르나스몰(PARNAS MALL),37.5090322,127.060875
코엑스 호텔아케이드,37.5125020,127.058796
코엑스 몰,37.5125020,127.058796
남서울종합시장,37.4934996,127.059483
(주)이마트 역삼점,37.4991989,127.048416
논현웰스톤상가,37.5184389,127.038010
아카데미프라자,37.4888539,127.051994
삼성동 신도브래뉴 주상복합 상가,37.5103782,127.053388
SSG Food Market 백화점,37.5233745,127.043635
영동전통시장,37.5091530,127.024569
동화상가(주),37.5105137,127.023506
홈플러스익스프레스 학동역점,37.5135126,127.030169
신원아침도시마인상가,37.5264175,127.049643
롯데슈퍼 역삼2동점,37.4968767,127.041946
롯데슈퍼 역삼1동점,37.4931219,127.034209
롯데슈퍼 논현점,37.5125192,127.038346
밀구루 삼성점,37.5155362,127.042352
롯데슈퍼 코엑스점,37.5149785,127.061400
롯데슈퍼 도곡점,37.4868730,127.048872
한보종합상가,37.4933784,127.067330
한솔필리아,37.4991989,127.048416
강남시장,37.5187583,127.020646
논현종합시장,37.5100065,127.034760
두산아케이드,37.5191245,127.035273
수서1-2단지상가,37.4913195,127.088383
(주)현대백화점 본점,37.5273165,127.027448
현대백화점 무역센터점,37.5085822,127.059698
갤러리아백화점(서관),37.5285474,127.040029
홈플러스 익스프레스 압구정점,37.5280348,127.036872
(주)지에스리테일 신사점,37.5234877,127.025286
청담제일시장,37.5264175,127.049643
삼성종합시장,37.5100001,127.052596
역삼시장,37.4985143,127.047929
역삼시장,37.4985143,127.047929
수서종합상가,37.4903194,127.099735
(주)신세계마트 이마트 역삼점,37.4991989,127.048416
SSG Food Market 백화점,37.5233745,127.043635
역삼서해더블루,37.4929853,127.039094
롯데슈퍼 압구정점,37.5234776,127.030320
영동시장,37.5105137,127.023506
(주)지에스리테일 논현점,37.5184389,127.038010
