법정구명,여성1인가구,범죄발생,calc
종로구,14097,2712,38231064
중구,12890,2861,36878290
용산구,21146,2381,50348626
성동구,22819,2112,48193728
광진구,34684,3087,107069508
동대문구,32866,2959,97250494
중랑구,30675,3210,98466750
성북구,35967,2411,86716437
강북구,26042,2301,59922642
도봉구,21064,1860,39179040
노원구,34834,3425,119306450
은평구,35433,3244,114944652
서대문구,29731,2278,67727218
마포구,38043,3540,134672220
양천구,23316,3015,70297740
강서구,51740,3896,201579040
구로구,27859,3486,97116474
금천구,21694,2439,52911666
영등포구,35070,4179,146557530
동작구,35886,2631,94416066
관악구,64821,4444,288064524
서초구,25695,3656,93940920
강남구,40938,6146,251604948
송파구,43995,4714,207392430
강동구,30264,3458,104652912
