,K,max_value,mean_value,N_Grid(value>0),Grid_Ratio
0,0,2258.928,53.730002267661696,1503.0,0.3604
1,1,2258.928,53.730002267661696,1431.0,0.3432
2,2,2258.928,53.730002267661696,1362.0,0.3266
3,3,2258.928,53.730002267661696,1296.0,0.3108
4,4,2258.928,53.730002267661696,1234.0,0.2959
5,5,2258.928,53.730002267661696,1172.0,0.2811
6,6,2258.928,53.730002267661696,1111.0,0.2664
7,7,2258.928,53.730002267661696,1050.0,0.2518
8,8,2258.928,53.730002267661696,995.0,0.2386
9,9,2258.928,53.730002267661696,942.0,0.2259
10,10,2258.928,53.730002267661696,890.0,0.2134
11,11,2258.928,53.730002267661696,838.0,0.201
12,12,2258.928,53.730002267661696,793.0,0.1902
13,13,2258.928,53.730002267661696,748.0,0.1794
14,14,2258.928,53.730002267661696,705.0,0.1691
15,15,2258.928,53.730002267661696,663.0,0.159
16,16,2258.928,53.730002267661696,623.0,0.1494
17,17,2258.928,53.730002267661696,584.0,0.14
18,18,2258.928,53.730002267661696,546.0,0.1309
19,19,2258.928,53.730002267661696,509.0,0.1221
20,20,2258.928,53.730002267661696,472.0,0.1132
21,21,2258.928,53.730002267661696,437.0,0.1048
22,22,2258.928,53.730002267661696,402.0,0.0964
23,23,2258.928,53.730002267661696,369.0,0.0885
24,24,2258.928,53.730002267661696,336.0,0.0806
25,25,2258.928,53.730002267661696,304.0,0.0729
26,26,2258.928,53.730002267661696,272.0,0.0652
27,27,2258.928,53.730002267661696,241.0,0.0578
28,28,2258.928,53.730002267661696,216.0,0.0518
29,29,2258.928,53.730002267661696,192.0,0.046
30,30,2258.928,53.730002267661696,169.0,0.0405
31,31,2258.928,53.730002267661696,147.0,0.0353
32,32,2258.928,53.730002267661696,125.0,0.03
33,33,2258.928,53.730002267661696,108.0,0.0259
34,34,2258.928,53.730002267661696,92.0,0.0221
35,35,2258.928,53.730002267661696,80.0,0.0192
36,36,2258.928,53.730002267661696,69.0,0.0165
37,37,2258.928,53.730002267661696,58.0,0.0139
38,38,2258.928,53.730002267661696,47.0,0.0113
39,39,2258.928,53.730002267661696,37.0,0.0089
40,40,2258.928,53.730002267661696,26.0,0.0062
41,41,2258.928,53.730002267661696,20.0,0.0048
42,42,2258.928,53.730002267661696,15.0,0.0036
43,43,2258.928,53.730002267661696,10.0,0.0024
44,44,2258.928,53.730002267661696,6.0,0.0014
45,45,2258.928,53.730002267661696,3.0,0.0007
46,46,2258.928,53.730002267661696,1.0,0.0002
47,47,2258.928,53.730002267661696,0.0,0.0
